,song_rank,song_title,song_author,song_link
36,37,Molhando o Volante - song and lyrics by Jorge & Mateus ,Jorge & Mateus,https://open.spotify.com/track/3ITkrUvAA6gzxer2UIom3P
37,38,"Assunto Delicado - Ao Vivo - song and lyrics by Guilherme & Benuto, Xand Avião ","Guilherme & Benuto, Xand Avião",https://open.spotify.com/track/3yHXEidSu4gYVRqKoI653O
38,39,"Kikando e Me Olhando - song and lyrics by MC Braz, MC Tairon, Dj Win ","MC Braz, MC Tairon, Dj Win",https://open.spotify.com/track/4a0sqvCBo7aRIS4GzBQpnp
39,40,"202 - song and lyrics by Kweller, Enzo Cello ","Kweller, Enzo Cello",https://open.spotify.com/track/3imzmQM2DPPVBLMiBBexRL
40,41,As It Was - song and lyrics by Harry Styles ,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
41,42,"Bafora o Lança - Remix - song and lyrics by Mario Mc, Menor Adr ","Mario Mc, Menor Adr",https://open.spotify.com/track/4NFkcqZ3jU2O9rgEbuluVn
42,43,ABALO EMOCIONAL - Ao Vivo - song and lyrics by Luan Santana ,Luan Santana,https://open.spotify.com/track/5A35xC90Nk6tXmcOAOOavi
43,44,Ai Eu Chorei - Ao Vivo - song and lyrics by Clayton & Romário ,Clayton & Romário,https://open.spotify.com/track/5TPXcKSOlPaz2pkYbWiWHU
44,45,Bagulho Louco - song and lyrics by Mc Paiva ZS ,Mc Paiva ZS,https://open.spotify.com/track/04vzhKfl5HtPEgrdZJCZ7L
45,46,"X1 - song and lyrics by MC Cabelinho, Dallass ","MC Cabelinho, Ariel Donato",https://open.spotify.com/track/0dcHD9QhnWRA41zoLnC83X
46,47,Vagabundo Chora - Ao Vivo - song and lyrics by Guilherme & Benuto ,Guilherme & Benuto,https://open.spotify.com/track/2ebFBmle5uXcdbrCAOvPcZ
47,48,Fim de Semana no Rio - song and lyrics by Teto ,Teto,https://open.spotify.com/track/7afaZ37wJJL6880z1NRgJS
48,49,Eu Já Tava Bem - Ao Vivo - song and lyrics by Wesley Safadão ,Wesley Safadão,https://open.spotify.com/track/5lCAtKxkZL6tFDyGX9t87j
49,50,Pino da Granada (Ao Vivo em Rio Preto) - song and lyrics by Murilo Huff ,Murilo Huff,https://open.spotify.com/track/0MKd4uZd8Ag8qyReZBTarP
